pieza;descripcion;precio;unidad
000-001-6208-D;RING-OR-6208-D;0.603994;Unidades
000-001-6304-D;RING-OR-6304-D;0.301997;Unidades
000-001-6305-D;RING-OR-6305-D;0.376988;Unidades
000-001-6306-D;RING-OR-6306-D;0.623013;Unidades
000-001-6307-D;RING-OR-6307-D;0.782012;Unidades
000-001-AL030AR009;Block, length: 50 mm, with 4 wheels;18.215427;Unidades
000-001-AM033AR209;Guideway, length: 300 mm, black color;8.312476;Unidades
000-001-BB203KRR2-UG;RING-OR-UNGRINDED;0.240014;Unidades
000-001-CV030A0;Maquina Zunchadora deposito;1240.270867;Unidades
000-001-LL028AR;Air Cuchion Machine;182.603742;Unidades
000-002-203-KRR2-D;RING-IR-203-KRR2;0.170999;Unidades
000-002-204JY3-UG;RING-IR-UNGRINDED;0.265003;Unidades
000-002-205GP-UG;205GP-UG Aro Interior;0.310014;Unidades
000-002-6004-D;RING-IR-6004-D;0.230998;Unidades
000-002-6005-D;RING-IR-6005-D;0.238984;Unidades
000-002-6006-D;RING-IR-6006-D;0.281016;Unidades
000-002-6007-D;RING-IR-6007-D;0.38;Unidades
000-002-6008-D;RING-IR-6008-D;0.412995;Unidades
000-002-6201-D;RING-IR-6201-D;0.1;Unidades
000-002-6202-D;RING-IR-6202-D;0.10599;Unidades
000-002-6203-D;RING-IR-6203-D;0.108008;Unidades
000-002-6203-NFR;RING - IR -NOT FINISH RACEWAY;0.042998;Unidades
000-002-6203-UG;RING-IR-UNGRINDED;0.04301;Unidades
000-002-6204-D;RING-IR-6204-D;0.171;Unidades
000-002-6205-D;RING-IR-6205-D;0.212996;Unidades
000-002-6206-D;RING-IR-6206-D;0.253;Unidades
000-002-6207-D;RING-IR-6207-D;0.267;Unidades
000-002-6208-D;RING-IR-6208-D;0.390999;Unidades
000-002-6304-D;RING-IR-6304-D;0.201997;Unidades
000-002-6305-D;RING-IR-6305-D;0.252014;Unidades
000-002-6306-D;RING-IR-6306-D;0.392995;Unidades
000-002-6307-D;RING-IR-6307-D;0.521016;Unidades
000-002-BB203KRR2-UG;RING-IR-UNGRINDED;0.144005;Unidades
000-003-1/2;BALL 1/2 G10;0.022987;Unidades
000-003-1/4;BALL 1/4 G10;0.003333;Unidades
000-003-1/4+2+0.2;BALL 1/4 G10 +2+0.2;0.005015;Unidades
000-003-1/4+2±0;BALL 1/4 G10 +2±0;0.005015;Unidades
000-003-1/4-2+0.2;BALL 1/4 G10 +2+0.2;0.005015;Unidades
000-003-1/4-2-0.4;BALL 1/4 G10 -2-0.4;0.005015;Unidades
000-003-1/4-2±0;BALL 1/4 -2±0;0.005015;Unidades
000-003-1/4-5+0.2;BALL 1/4 G10 -5+0.2;0.005015;Unidades
000-003-1/4-5±0;BALL 1/4 G10 -5±0;0.005015;Unidades
000-003-1/4±0+0.2;BALL 1/4 ±+0.2;0.005015;Unidades
000-003-11/32;BAAL-11/32-G10;0.005533;Unidades
000-003-15/32;BALL 15/32 G10;0.013533;Unidades
000-003-15/64;BALL 15/64 G10;0.003333;Unidades
000-003-15/64+1-0.2;BALL 15/64 G10 +1-0.2;0.005015;Unidades
000-003-15/64+4-0.2;BALL 15/64 G10 +4-0.2;0.005015;Unidades
000-003-15/64+4±0;BALL 15/64 G10 +4±+0;0.005015;Unidades
000-003-15/64+7+0.2;BALL 15/64 G10 +7+0.2;0.005015;Unidades
000-003-15/64-1±0;BALL 15/64 G10 -1±0;0.005015;Unidades
000-003-15/64-2+0.2;BALL 15/64 G10 -2+0.2;0.005015;Unidades
000-003-15/64±0-0.2;BALL 15/64 G10 ±0-0.2;0.005015;Unidades
000-003-17/32;BALL 17/32 G10;0.0186;Unidades
000-003-17/64;BALL 17/64 G10;0.005293;Unidades
000-003-17/64+1-0.4;BALL 17/64 G10 +1-0.4;0.005015;Unidades
000-003-17/64+3+0.2;BALL 17/64 G10 +3+0.2;0.005015;Unidades
000-003-17/64+30.2;BALL 17/64 G10 +30.2;0.005015;Unidades
000-003-17/64+4+0.4;BALL 17/64 G10 +4+0.4;0.005015;Unidades
000-003-17/64+4±0;BALL 17/64 G10 +4±0;0.005015;Unidades
000-003-17/64+6+0.2;BALL 17/64 G10 +6+0.2;0.005015;Unidades
000-003-17/64-1±0;BALL 17/64 G10 -1±0;0.005015;Unidades
000-003-17/64-2-0.2;BALL 17/64 G10 -2-0.2;0.005015;Unidades
000-003-17/64-4+0.4;BALL 17/64 G10 -4+0.4;0.005015;Unidades
000-003-17/64±0+0.4;BALL 17/64 G10 ±0+0.4;0.005015;Unidades
000-003-17/64±0-0.2;BALL 17/64 G10 ±0-0.2;0.005015;Unidades
000-003-17/64±0-0.4;BALL 17/64 G10 ±0-0.4;0.005015;Unidades
000-003-17/64±0±0;BALL 17/64 G10 ±0±0;0.005015;Unidades
000-003-29/64;BALL 29/64 G 10;0.012;Unidades
000-003-29/64+2+0.2;BALL 29/64 G10 +2+0.2;0.018;Unidades
000-003-29/64-1±0;BALL 29/64 G10 -1±0;0.018;Unidades
000-003-29/64-2+0.4;BALL 29/64 G10 -2+0.4;0.018;Unidades
000-003-29/64-4-0.2;BALL 29/64 G10 -4-0.2;0.018;Unidades
000-003-29/64±0+0.2;BALL 29/64 G10 ±0+0.2;0.018;Unidades
000-003-29/64±0-0.2;BALL 29/64 G10 ±0-0.2;0.018;Unidades
000-003-29/64±0-0.4;BALL 29/64 G10 ±0-0.4;0.018;Unidades
000-003-3/8;BALL 3/8 G10;0.008;Unidades
000-003-3/8+1;BALL 3/8 G10 +1;0.01;Unidades
000-003-3/8+2;BALL 3/8 G10 +2;0.01;Unidades
000-003-3/8-1-0.2;BALL 3/8 G10 -1-0.2;0.01;Unidades
000-003-3/8-3;BALL 3/8 G10 -3;0.01;Unidades
000-003-3/8-4+0.4;BALL 3/8 G10 -4+0.4;0.01;Unidades
000-003-3/8-4-0.2;BALL 3/8 G10 -4-0.2;0.01;Unidades
000-003-3/8-5+0.2;BALL 3/8 G10 -5+0.2;0.00991;Unidades
000-003-3/8-5+0.4;BALL 3/8 G10 -5+0.4;0.01;Unidades
000-003-3/8-5-0.2;BALL 3/8 G10 -5-0.2;0.01;Unidades
000-003-3/8-5-0.4;BALL 3/8 G10 -5-0.4;0.01;Unidades
000-003-3/8-6+0.4;BALL 3/8 G10 -6+0.4;0.01;Unidades
000-003-3/8-7±0;BALL 3/8 G 10 -7±0;0.01;Unidades
000-003-3/8-8±0;BALL 3/8 G 10 -8±0;0.01;Unidades
000-003-3/8±0+0.4;BALL 3/8 G10 ±0+0.4;0.01;Unidades
000-003-3/8±0-0.4;BALL 3/8 G10 ±0-0.4;0.01;Unidades
000-003-5/16;BALL 5/16 G10;0.0035;Unidades
000-003-5/16+1+0.4;BALL 5/16 G10 +1+0.4;0.007015;Unidades
000-003-5/16+1-0.2;BALL 5/16 G10 +1-0.2;0.007015;Unidades
000-003-5/16+1-0.4;"BALL 5/16 G10 +1-0.4_x000D_
_x000D_";0.007015;Unidades
000-003-5/16+1±0;BALL 5/16 G10 +1±0;0.007015;Unidades
000-003-5/16+2±0;BALL 5/16 G10 +2±0;0.007015;Unidades
000-003-5/16+3+0.2;BALL 5/16 G10 +3+0.2;0.007015;Unidades
000-003-5/16+3±0;BALL 5/16 G10 +3±0;0.007015;Unidades
000-003-5/16+4+0.2;BALL 5/16 G10 +4+0.2;0.007015;Unidades
000-003-5/16+4±0;BALL 5/16 G10 +4±0_x000D_;0.007015;Unidades
000-003-5/16-1-0.2;BALL 5/16 G10 -1-0.2_x000D_;0.007015;Unidades
000-003-5/16-1-0.4;BALL 5/16 G10 -1-0.4_x000D_;0.007015;Unidades
000-003-5/16-2+0.4;BALL 5/16 G10 -2+0.4;0.007015;Unidades
000-003-5/16-2-0.4;BALL 5/16 G10 -2-0.4;0.007015;Unidades
000-003-5/16-2±0;BALL 5/16 G10 -2±0;0.007015;Unidades
000-003-5/16-3-0.2;BALL 5/16 G10 -3(-0.2)_x000D_;0.007015;Unidades
000-003-5/16-3±0;BALL 5/16 G10 -3±0_x000D_;0.007015;Unidades
000-003-5/16-4+0.2;BALL 5/16 G10 -4+0.2;0.007015;Unidades
000-003-5/16-4+0.4;BALL 5/16 G10 -4+0.4;0.007015;Unidades
000-003-5/16-4-0.2;BALL 5/16 G10 -4-0.2;0.007015;Unidades
000-003-5/16-4-0.4;BALL 5/16 G10 -4-0.4;0.007015;Unidades
000-003-5/16-4±0;BALL 5/16 G10 -4±0;0.007015;Unidades
000-003-5/16-5+0.4;BALL 5/16 G10 -5+0.4;0.007015;Unidades
000-003-5/16-5-04;BALL 5/16 G10 -5-04_x000D_;0.007015;Unidades
000-003-5/16-6+0.4;BALL 5716 G10 -6+0.4;0.007015;Unidades
000-003-5/16±0-0.2;BALL 5/16 G10 ±0-0.2;0.007015;Unidades
000-003-5/16±0-0.4;BALL 5/16 G10 ±0-0.4_x000D_;0.007015;Unidades
000-003-7/16;BALL 7/16 G10;0.011133;Unidades
000-003-7/16+2+0.2;BALL 7/16 G10 +2+0.2;0.016;Unidades
000-003-7/16+2+0.4;BALL 7/16 G10 +2+0.4;0.016;Unidades
000-003-7/16+2±0;BALL 7/16 G10 +2±0;0.016;Unidades
000-003-7/16-2-0.2;BALL 7/16 G10 -2-0.2;0.016;Unidades
000-003-7/16-2-0.4;BALL 7/16 G10 -2-0.4;0.016;Unidades
000-003-7/16-4+0.2;BALL 7/16 G10 -4+0.2;0.016;Unidades
000-003-7/16-4-0.2;BALL 7/16 G10 -4-0.2;0.016;Unidades
000-003-7/16-4-0.4;BALL 7/16 G10 -4-0.4;0.016;Unidades
000-003-7/16±0+0.2;BALL 7/16 G10 ±0+0.2;0.016;Unidades
000-003-7/16±0-0.2;BALL 7/16 G10 ±0-0.2;0.016;Unidades
000-003-7/16±0-0.4;BALL 7/16 G10 ±0-0.4;0.016;Unidades
000-003-8MM;BALL 8MM G10;0.007013;Unidades
000-003-8MM+2+0.2;BALL 8 MM G 10 +2+0.2;0.007015;Unidades
000-003-8MM-1+0.2;BALL 8 MM G10 -1+0.2;0.007015;Unidades
000-003-8MM-2+0.4;BALL 8 MM -2+0.4;0.007015;Unidades
000-003-8MM-4-0.4;BALL 8MM G10 -4-0.4;0.007015;Unidades
000-003-8MM±0+0.4;BALL 8 MM G10 ±0+0.4;0.007015;Unidades
000-003-9/32;BALL 9/32 G10;0.005009;Unidades
000-003-9/32+2±0;BALL 9/32 G10 +2±0;0.005015;Unidades
000-003-9/32+4±0;BALL 9/32 G10 +4±0;0.005015;Unidades
000-003-9/32-1+0.2;BALL 9/32 G10 -1±0.2;0.005015;Unidades
000-003-9/32±0-0.2;BALL 9/32 ±0-0.2;0.005015;Unidades
000-003-TCX-1845;BEARING PART;0.136;Unidades
000-003-TCX-1845;Bearing Parts;0.052383;Unidades
000-003-TCX204;Bearing Parts;0.01;Unidades
000-003-TCX205;Bearing Parts;0.009003;Unidades
000-003-TCX206;Bearing Parts;0.01;Unidades
000-003-TCX207;Bearing Parts;0.010998;Unidades
000-003-TCX208;Bearing Parts;0.014401;Unidades
000-003-TCX209;Bearing Parts;0.012896;Unidades
000-003-TCX210;Bearing Parts;0.015003;Unidades
000-003-TCX211;Bearing Parts;0.019901;Unidades
000-003-TCX212;Bearing Parts_x000D_;0.021093;Unidades
000-003-TCX307;Bearing Parts;0.023001;Unidades
000-003-TCX309;Bearing Parts;0.033001;Unidades
000-003-TCX310;Bearing Parts;0.044003;Unidades
000-003-TDX010;Bearing Parts;0.0093;Unidades
000-003-TDX011;Bearing Parts;0.012101;Unidades
000-003-TDX014;Bearing Parts;0.014801;Unidades
000-003-TDX207;Bearing Parts;0.019003;Unidades
000-003-TDX208;Bearing Parts;0.013896;Unidades
000-003-TDX209;Bearing Parts;0.014401;Unidades
000-003-TDX210;Bearing Parts;0.017101;Unidades
000-003-TDX212;Bearing Parts;0.025101;Unidades
000-003-TDX213;Bearing Parts;0.035702;Unidades
000-003-TDX215;Bearing Parts;0.036488;Unidades
000-003-TDX217;Bearing Parts;0.065;Unidades
000-003-TDX218;Bearing Parts;0.068203;Unidades
000-003-TDX312;Bearing Parts;0.052883;Unidades
000-003-TTX110;Bearing Parts;0.016995;Unidades
000-003-TTX112;Bearing Parts;0.022893;Unidades
000-003-TTX215;Bearing Parts;0.050803;Unidades
000-004-6005-Z;SEAL-Z-6005;0.029737;Unidades
000-004-BB203KRR2FD;SEAL - BB203KRR2FD Double lip shrond contact seal;0.060014;Unidades
000-004-J91-SHIELD;XR CALLED METAL SHIELD-WP386-J91;0.05;Unidades
000-004-RLD-203-RED;RLD-203-KRR2-RED-NCO;0.059993;Unidades
000-004-RLD-6004-RED;RLD-6004-RED-NCO;0.06;Unidades
000-004-RLD-6005-RED;RLD-6005-RED-NCO;0.06;Unidades
000-004-RLD-6006-RED;RLD-6006-RED-NCO;0.070018;Unidades
000-004-RLD-6007-RED;RLD-6007-RED-NCO;0.070018;Unidades
000-004-RLD-6008-RED;RLD-6008-RED-NCO;0.08;Unidades
000-004-RLD-6201-RED;RLD-6201-RED-NCO;0.021015;Unidades
000-004-RLD-6202-RED;RLD-6202-RED-NCO;0.050018;Unidades
000-004-RLD-6203-RED;RLD-6203-RED-NCO;0.030013;Unidades
000-004-RLD-6204-RED;RLD-6204-RED-NCO;0.06;Unidades
000-004-RLD-6205-RED;RLD-6205-RED-NCO;0.070018;Unidades
000-004-RLD-6206-RED;RLD-6206-RED-NCO;0.070018;Unidades
000-004-RLD-6207-RED;RLD-6207-RED-NCO;0.08;Unidades
000-004-RLD-6208-RED;RLD 6208 RED NCO;0.1;Unidades
000-004-RLD-6302-RED;RLD-6302-RED-NCO;0.02;Unidades
000-004-RLD-6303-RED;RLD-6303-RED-NCO;0.02;Unidades
000-004-RLD-6304-RED;RLD-6304-RED-NCO;0.070018;Unidades
000-004-RLD-6305-RED;RLD-6305-RED-NCO;0.070018;Unidades
000-004-RLD-6306-RED;RLD-6306-RED-NCO;0.08;Unidades
000-004-RLD-6307-RED;RLD-6307-RED-NCO;0.08;Unidades
000-004-RST-6203-RED;RST-6203-RED-NCO;0.05;Unidades
000-004-RST-6204-RED;RST-6204-RED-NCO;0.050016;Unidades
000-004-RST-6205-RED;RST-6205-RED-NCO;0.055013;Unidades
000-004-RST-6206-RED;RST-6206-RED-NCO;0.069987;Unidades
000-004-RST-6303-RED;RST-6303-RED-NCO;0.033333;Unidades
000-004-RST-6304-RED;RST-6304-RED-NCO;0.055013;Unidades
000-004-RST-6305-RED;RST-6305-RED-NCO;0.069987;Unidades
000-004-RST-6306-RED;RST-6306-RED-NCO;0.090007;Unidades
000-004-RST-6307-RED;RST-6307-RED-NCO;0.109993;Unidades
000-004-RST-6308-RED;RST-6308-RED-NCO;0.119987;Unidades
000-004-SEAL-205GP;SEAL-205GP Triple lip shrond contact seal;0.2;Unidades
000-004-SEAL204JY3DL;SEAL 204JY3-DL Double lip shrond contact seal;0.060014;Unidades
000-004-SEAL204JY3SL;SEAL 204JY3-SL Simple lip shrond contactr seal;0.060014;Unidades
000-005-203-RET/SET;RET/SET-203-KRR2;0.019987;Unidades
000-005-204JY3RETSET;204JY3-RET/SET;0.034996;Unidades
000-005-205GPRET/SET;205GP-RET/SET;0.041996;Unidades
000-005-6004-RET/SET;RET/SET-6004;0.027013;Unidades
000-005-6005-RET/SET;RET/SET-6005;0.027987;Unidades
000-005-6006-RET/SET;RET/SET-6006;0.031007;Unidades
000-005-6007-RET/SET;RET/SET-6007;0.052987;Unidades
000-005-6008-RET/SET;RET/SET-6008;0.062986;Unidades
000-005-6201-RET/SET;RET/SET-6201;0.016;Unidades
000-005-6202-RET/SET;RET/SET-6202;0.018993;Unidades
000-005-6203-RET/SET;RET/SET-6203;0.021006;Unidades
000-005-6204-RET/SET;RET/SET-6204;0.023006;Unidades
000-005-6205-RET/SET;RET/SET-6205;0.025993;Unidades
000-005-6206-RET/SET;RET/SET-6206;0.029997;Unidades
000-005-6207-RET/SET;RET/SET-6207;0.036007;Unidades
000-005-6208-RET/SET;RET/SET-6208;0.047013;Unidades
000-005-6302-RET/SET;RET/SET-6302;0.015333;Unidades
000-005-6303-RET/SET;RET/SET-6303;0.02;Unidades
000-005-6304-RET/SET;RET/SET-6304;0.031007;Unidades
000-005-6305-RET/SET;RET/SET-6305;0.037013;Unidades
000-005-6306-RET/SET;RET/SET-6306;0.041007;Unidades
000-005-6307-RET/SET;RET/SET-6307;0.046007;Unidades
000-005-BB203KRR2FD;BB203KRR2FD-RET/SET;0.019993;Unidades
000-005-TCX-1845;Bearing Parts;0.549824;Unidades
000-005-TCX204;Bearing Parts;0.149003;Unidades
000-005-TCX205;Bearing Parts;0.149003;Unidades
000-005-TCX206;Bearing Parts;0.160998;Unidades
000-005-TCX207;Bearing Parts;0.102981;Unidades
000-005-TCX208;Bearing Parts;0.122006;Unidades
000-005-TCX209;Bearing Parts;0.122961;Unidades
000-005-TCX210;Bearing Parts;0.304;Unidades
000-005-TCX211;Bearing Parts;0.189009;Unidades
000-005-TCX212;Bearing Parts;0.199936;Unidades
000-005-TCX307;Bearing Parts;0.314999;Unidades
000-005-TCX309;Bearing Parts;0.518;Unidades
000-005-TCX310;Bearing Parts;0.692003;Unidades
000-005-TDX010;Bearing Parts;0.116006;Unidades
000-005-TDX011;Bearing Parts;0.151008;Unidades
000-005-TDX014;Bearing Parts;0.20041;Unidades
000-005-TDX207;Bearing Parts;0.309003;Unidades
000-005-TDX208;Bearing Parts;0.117962;Unidades
000-005-TDX209;Bearing Parts;0.130006;Unidades
000-005-TDX210;Bearing Parts;0.154008;Unidades
000-005-TDX212;Bearing Parts;0.237112;Unidades
000-005-TDX213;Bearing Parts;0.339017;Unidades
000-005-TDX215;Bearing Parts;0.364883;Unidades
000-005-TDX217;Bearing Parts;1.288002;Unidades
000-005-TDX218;Bearing Parts;0.682034;Unidades
000-005-TDX312;Bearing Parts;0.528931;Unidades
000-005-TTX110;Bearing Parts;0.178943;Unidades
000-005-TTX112;Bearing Parts;0.239923;Unidades
000-005-TTX215;Bearing Parts;0.508025;Unidades
000-006-001;GRASA BEACON EP-2;0.004061;Kilogramos
000-006-GL-262;Grasa KLUBER MICROLUBE GL 262;0.045724;Kilogramos
000-006-POLYREX-EM;GRASA M-POLYREX-EM;13.7362;Kilogramos
000-047-SAB-213-65DG;Rod. Autocentrante;10.540656;Unidades
000-047-UCF-213-65MM;Soporte y Autocentrante;23.208558;Unidades
000-053-104949;Cono armado;1.259977;Unidades
000-053-3984;CONO;2.229601;Unidades
000-053-68149;Cono armado;0.717987;Unidades
000-053-HM-518445;COMO;4.2846;Unidades
000-053-TCX-1845;BEARING PARTS;2.619993;Unidades
000-053-TCX-1845;Bearings Parts;1.924384;Unidades
000-053-TCX204;Bearing Parts;0.212002;Unidades
000-053-TCX205;Bearing Parts;0.222999;Unidades
000-053-TCX206;Bearing Parts;0.237999;Unidades
000-053-TCX207;Bearing Parts;0.361933;Unidades
000-053-TCX208;Bearing Parts;0.427021;Unidades
000-053-TCX209;Bearing Parts;0.430362;Unidades
000-053-TCX210;Bearing Parts;0.462005;Unidades
000-053-TCX211;Bearing Parts;0.661533;Unidades
000-053-TCX212;Bearing Parts;0.699776;Unidades
000-053-TCX307;Bearing Parts;0.462005;Unidades
000-053-TCX309;Bearing Parts;0.765001;Unidades
000-053-TCX310;Bearing Parts;1.038001;Unidades
000-053-TDX010;Bearing Parts;0.40602;Unidades
000-053-TDX011;Bearing Parts;0.528526;Unidades
000-053-TDX014;Bearing Parts;0.700035;Unidades
000-053-TDX207;Bearing Parts;0.470001;Unidades
000-053-TDX208;Bearing Parts;0.412868;Unidades
000-053-TDX209;Bearing Parts;0.455023;Unidades
000-053-TDX210;Bearing Parts;0.539027;Unidades
000-053-TDX212;Bearing Parts;0.833042;Unidades
000-053-TDX213;Bearing Parts;1.186559;Unidades
000-053-TDX215;Bearing Parts;1.277091;Unidades
000-053-TDX217;Bearing Parts;1.931002;Unidades
000-053-TDX218;Bearing Parts;2.387119;Unidades
000-053-TDX312;Bearing Parts;1.850908;Unidades
000-053-TTX110;Bearing Parts;0.6263;Unidades
000-053-TTX112;Bearing Parts;0.839731;Unidades
000-053-TTX215;Bearing Parts;1.778089;Unidades
000-053-X-30203;Cono;0.413024;Unidades
000-053-X-30204;CONO ARMADO;0.336047;Unidades
000-053-X-30205;Cono;0.378053;Unidades
000-053-X-30206;CONO ARMADO;0.49707;Unidades
000-053-X-30207;Cono;0.896065;Unidades
000-053-X-30208;Cono;0.85412;Unidades
000-053-X-30209;Cono;1.301923;Unidades
000-053-X-30210;Cono;1.015142;Unidades
000-053-X-30211;Cono;1.323185;Unidades
000-053-X-30212;Cono;1.469412;Unidades
000-053-X-30213;Bearing Parts;2.485181;Unidades
000-053-X-30220;Cono Armado;5.669943;Unidades
000-053-X-30305;Bearing Parts;0.525073;Unidades
000-053-X-30307;CONO ARMADO;1.00114;Unidades
000-053-X-30308;Cono;1.225172;Unidades
000-053-X-30309;Cono;1.337187;Unidades
000-053-X-30310;Cono;1.988572;Unidades
000-053-X-30311;Cono;2.519549;Unidades
000-053-X-32005;Bearing parts;0.511037;Unidades
000-053-X-32006;Cono;0.476116;Unidades
000-053-X-32007;CONO;0.532074;Unidades
000-053-X-32008;Bearing Parts;0.889065;Unidades
000-053-X-32009;Bearing parts;0.686096;Unidades
000-053-X-32010;Bearing parts;0.812114;Unidades
000-053-X-32014;Bearing parts;1.939016;Unidades
000-053-X-32016;CONO ARMADO;2.295443;Unidades
000-053-X-32205;CONO ARMADO;0.672094;Unidades
000-053-X-32206;Bearing Parts;0.719871;Unidades
000-053-X-32207;Cono Armado;1.183086;Unidades
000-053-X-32208;Bearing Parts;1.281094;Unidades
000-053-X-32209;Bearing Parts;0.909924;Unidades
000-053-X-32210;Cono armado;1.078151;Unidades
000-053-X-32211;Cono armado;1.322889;Unidades
000-053-X-32212;Cono armado;1.666233;Unidades
000-053-X-32213;Cono;2.373332;Unidades
000-053-X-32214;Cono armado;2.485348;Unidades
000-053-X-32216;Cono armado;4.122757;Unidades
000-053-X-32217;Bearing Parts;4.92071;Unidades
000-053-X-32218;Cono armado;6.292629;Unidades
000-053-X-32219;Cono armado;6.179501;Unidades
000-053-X-32220;Cono armado;9.128246;Unidades
000-053-X-32307;Cono;1.729014;Unidades
000-053-X-32311;Cono;4.095033;Unidades
000-053-X-33010;CONO;1.22978;Unidades
000-053-X-33013;Cono;1.540376;Unidades
000-053-X-33117;Cono;5.215381;Unidades
000-053-X-33209;Cono;1.707586;Unidades
000-053-X-33210;Bearing Parts;1.861548;Unidades
000-054-104911;Bearing Parts;0.53999;Unidades
000-054-3920;Cubeta;0.94983;Unidades
000-054-68110;Bearing Parts;0.307994;Unidades
000-054-TCY-8410;BEARIG PARTS;1.439996;Unidades
000-054-TCY-8410;Bearings Parts;1.923984;Unidades
000-054-TCY203;Cubeta;0.17701;Unidades
000-054-TCY204;Bearing Parts;0.14402;Unidades
000-054-TCY205;Bearing Parts;0.162023;Unidades
000-054-TCY206;Bearing Parts;0.21303;Unidades
000-054-TCY207;Bearing Parts;0.361933;Unidades
000-054-TCY208;Bearing Parts;0.426221;Unidades
000-054-TCY209;Bearing Parts;0.431262;Unidades
000-054-TCY210;Bearing Parts;0.435061;Unidades
000-054-TCY211;Bearing Parts;0.661433;Unidades
000-054-TCY212;BEARING PART;0.709998;Unidades
000-054-TCY212;Bearing Parts;0.698876;Unidades
000-054-TCY213;Bearing parts;1.065078;Unidades
000-054-TCY220;Cubeta;2.429976;Unidades
000-054-TCY305;Bearing Parts;0.225031;Unidades
000-054-TCY307;Bearing Parts;0.42906;Unidades
000-054-TCY308;Cubeta;0.525073;Unidades
000-054-TCY309;Bearing Parts;0.57308;Unidades
000-054-TCY310;Bearing Parts_x000D_;0.852245;Unidades
000-054-TCY311;Cubeta;1.079807;Unidades
000-054-TDY005;Bearing parts;0.219016;Unidades
000-054-TDY006;Cubeta;0.20405;Unidades
000-054-TDY007;Bearing parts;0.228032;Unidades
000-054-TDY008;Bearing Parts;0.381028;Unidades
000-054-TDY009;Bearing parts;0.294041;Unidades
000-054-TDY010;Bearing parts;0.40552;Unidades
000-054-TDY011;Bearing Parts;0.528026;Unidades
000-054-TDY014;Bearing parts;0.700035;Unidades
000-054-TDY016;CUBETA;0.983761;Unidades
000-054-TDY205;CUBETA;0.28804;Unidades
000-054-TDY206;Bearing parts;0.299946;Unidades
000-054-TDY207;Bearing Parts;0.507037;Unidades
000-054-TDY208;Bearing Parts;0.412568;Unidades
000-054-TDY209;Bearing Parts;0.455823;Unidades
000-054-TDY210;Bearing Parts;0.539227;Unidades
000-054-TDY211;Bearing Parts;0.566952;Unidades
000-054-TDY212;Bearing Parts;0.833042;Unidades
000-054-TDY213;Cubeta;1.186259;Unidades
000-054-TDY214;Bearing Parts;1.065149;Unidades
000-054-TDY215;Bearing Parts;1.276991;Unidades
000-054-TDY216;Bearing Parts;1.766896;Unidades
000-054-TDY217;Bearing Parts;2.108876;Unidades
000-054-TDY218;Bearing Parts;2.387119;Unidades
000-054-TDY219;Cubeta;2.648358;Unidades
000-054-TDY220;Bearing Parts;3.912106;Unidades
000-054-TDY307;Cubeta;0.741006;Unidades
000-054-TDY311;Cubeta;1.755014;Unidades
000-054-TDY312;Cubeta;1.850908;Unidades
000-054-TTY010;CUBETA;0.519907;Unidades
000-054-TTY013;Cubeta 33013;0.660161;Unidades
000-054-TTY110;Bearing Parts;0.627299;Unidades
000-054-TTY112;Bearing Parts;0.838831;Unidades
000-054-TTY117;Cubeta;2.235163;Unidades
000-054-TTY209;Bearing Parts;0.731822;Unidades
000-054-TTY210;Bearing Parts;0.797806;Unidades
000-054-TTY215;Bearing Parts;1.778089;Unidades
